Gaia14aar
#Date,JD,averagemag.
2014-09-09 23:46:45,2456910.491,17.23
2014-09-10 01:33:22,2456910.565,17.08
2014-10-01 10:33:32,2456931.940,17.23
2014-10-01 14:47:04,2456932.116,16.34
2014-10-01 16:33:31,2456932.190,16.65
2014-10-01 20:47:29,2456932.366,16.96
2014-10-01 22:33:44,2456932.440,17.09
2014-10-08 20:53:17,2456939.370,17.10
2014-10-08 22:39:50,2456939.444,17.17
2014-10-09 02:53:45,2456939.621,16.22
2014-10-09 04:40:04,2456939.694,16.54
2014-10-09 08:53:53,2456939.871,16.91
2014-10-09 10:40:30,2456939.945,17.10
2014-12-30 21:37:08,2457022.401,16.12
2014-12-30 23:23:36,2457022.475,16.33
2014-12-31 03:37:00,2457022.651,16.90
2014-12-31 05:23:45,2457022.725,17.00
2015-01-11 09:44:58,2457033.906,17.31
2015-01-11 11:31:44,2457033.980,16.20
2015-02-16 15:14:35,2457070.135,16.89
2015-02-16 17:01:22,2457070.209,17.01
2015-03-26 20:28:08,2457108.353,17.01
2015-03-26 22:14:52,2457108.427,17.06
2015-03-27 02:28:34,2457108.603,17.28
2015-03-27 04:15:18,2457108.677,16.82
2015-04-04 14:34:33,2457117.107,16.97
2015-04-04 16:21:40,2457117.182,null
2015-04-04 20:34:57,2457117.358,17.08

